contentId,title,genres,mediaType
40028,Attack on Titan Final Season,"['Action', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Shounen', 'Super Power']",anime
40748,Jujutsu Kaisen,"['Action', 'Demons', 'Fantasy', 'School', 'Shounen', 'Supernatural']",anime
38000,Demon Slayer,"['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']",anime
21,One Piece,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",anime
11061,Hunter x Hunter (2011),"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super Power']",anime
32281,Your Name.,"['Drama', 'Romance', 'School', 'Supernatural']",movie
28851,A Silent Voice,"['Drama', 'School', 'Shounen']",movie
9253,Steins;Gate,"['Sci-Fi', 'Thriller']",anime
1535,Death Note,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller']",anime
